time,value
0.000000000000000000e+00,-9.039999999638399508e-01
4.154549231408392125e-04,-9.039999999638399508e-01
8.309098462816784251e-04,-9.039999999638399508e-01
1.246364769422517692e-03,-9.039999999638399508e-01
1.661819692563356850e-03,-9.039999999638399508e-01
2.077274615704196008e-03,-9.039999999638399508e-01
2.492729538845035384e-03,-9.039999999638399508e-01
2.908184461985874325e-03,-9.039999999638399508e-01
3.323639385126713700e-03,-9.039999999638399508e-01
3.739094308267553075e-03,-9.079999999636799712e-01
4.154549231408392017e-03,-9.079999999636799712e-01
4.570004154549230958e-03,-9.119999999635199917e-01
4.985459077690070767e-03,-9.119999999635199917e-01
5.400914000830909709e-03,-9.999999999599999967e-01
5.816368923971748650e-03,-9.959999999601599763e-01
6.231823847112588459e-03,-9.199999999631999215e-01
6.647278770253427400e-03,-7.679999999692799229e-01
7.062733693394266342e-03,-6.479999999740799765e-01
7.478188616535106151e-03,-5.359999999785599600e-01
7.893643539675945092e-03,-4.959999999801599779e-01
8.309098462816784034e-03,-4.919999999803199575e-01
8.724553385957622975e-03,-4.919999999803199575e-01
9.140008309098461917e-03,-4.919999999803199575e-01
9.555463232239302593e-03,-4.919999999803199575e-01
9.970918155380141534e-03,-4.919999999803199575e-01
1.038637307852098048e-02,-4.919999999803199575e-01
1.080182800166181942e-02,-4.919999999803199575e-01
1.121728292480265836e-02,-4.919999999803199575e-01
1.163273784794349730e-02,-4.919999999803199575e-01
1.204819277108433798e-02,-4.919999999803199575e-01
1.246364769422517692e-02,-4.919999999803199575e-01
1.287910261736601586e-02,-4.919999999803199575e-01
1.329455754050685480e-02,-4.919999999803199575e-01
1.371001246364769374e-02,-4.919999999803199575e-01
1.412546738678853268e-02,-4.919999999803199575e-01
1.454092230992937163e-02,-4.919999999803199575e-01
1.495637723307021230e-02,-4.919999999803199575e-01
1.537183215621105124e-02,-4.919999999803199575e-01
1.578728707935189018e-02,-4.919999999803199575e-01
1.620274200249273086e-02,-4.879999999804799926e-01
1.661819692563356807e-02,-4.879999999804799926e-01
1.703365184877440874e-02,-4.879999999804799926e-01
1.744910677191524595e-02,-4.879999999804799926e-01
1.786456169505608663e-02,-4.879999999804799926e-01
