time,value
0.000000000000000000e+00,-7.520661155781709351e-01
9.115770282588878549e-04,-7.520661155781709351e-01
1.823154056517775710e-03,-7.520661155781709351e-01
2.734731084776663781e-03,-7.520661155781709351e-01
3.646308113035551420e-03,-7.520661155781709351e-01
4.557885141294439058e-03,-7.520661155781709351e-01
5.469462169553327563e-03,2.479338842565398382e-02
6.381039197812215201e-03,-8.512396692807868703e-01
7.292616226071102839e-03,3.553719007677071384e-01
8.204193254329991344e-03,-9.338842973663000757e-01
9.115770282588878115e-03,3.719008263848097573e-01
1.002734731084776662e-02,3.553719007677071384e-01
1.093892433910665513e-02,-9.504132229834028056e-01
1.185050136736554190e-02,3.553719007677071384e-01
1.276207839562443040e-02,-9.504132229834028056e-01
1.367365542388331717e-02,3.057851239163991708e-01
1.458523245214220568e-02,-8.842975205149921081e-01
1.549680948040109418e-02,1.735537189795778867e-01
1.640838650865998269e-02,-6.033057850242469211e-01
1.731996353691886772e-02,1.404958677453725935e-01
1.823154056517775623e-02,-4.545454544703230737e-01
1.914311759343664474e-02,1.239669421282699191e-01
2.005469462169553324e-02,4.132231404275664433e-02
2.096627164995442175e-02,4.132231404275664433e-02
2.187784867821331025e-02,4.132231404275664433e-02
2.278942570647219529e-02,5.785123965985929789e-02
2.370100273473108379e-02,5.785123965985929789e-02
2.461257976298997230e-02,5.785123965985929789e-02
2.552415679124886080e-02,5.785123965985929789e-02
2.643573381950774931e-02,5.785123965985929789e-02
2.734731084776663435e-02,7.438016527696195146e-02
2.825888787602552285e-02,1.900826445966805611e-01
2.917046490428441136e-02,2.066115702137832078e-01
3.008204193254329986e-02,2.066115702137832078e-01
3.099361896080218837e-02,2.066115702137832078e-01
3.190519598906107340e-02,1.239669421282699191e-01
3.281677301731996538e-02,2.231404958308858544e-01
3.372835004557885041e-02,2.231404958308858544e-01
3.463992707383773545e-02,1.404958677453725935e-01
3.555150410209662742e-02,1.404958677453725935e-01
3.646308113035551246e-02,1.570247933624752401e-01
3.737465815861440444e-02,1.570247933624752401e-01
3.828623518687328947e-02,1.570247933624752401e-01
3.919781221513217451e-02,1.570247933624752401e-01
4.010938924339106648e-02,1.570247933624752401e-01
4.102096627164995152e-02,1.570247933624752401e-01
4.193254329990884349e-02,1.570247933624752401e-01
4.284412032816772853e-02,1.570247933624752401e-01
4.375569735642662050e-02,1.570247933624752401e-01
4.466727438468550554e-02,4.132231404275664433e-02
4.557885141294439058e-02,2.479338842565398382e-02
4.649042844120328255e-02,2.479338842565398382e-02
4.740200546946216759e-02,2.479338842565398382e-02
4.831358249772105956e-02,2.479338842565398382e-02
4.922515952597994460e-02,1.239669421282699191e-01
5.013673655423882963e-02,1.239669421282699191e-01
5.104831358249772161e-02,1.074380165111672725e-01
5.195989061075660664e-02,1.074380165111672725e-01
5.287146763901549862e-02,-8.264462808551328518e-03
5.378304466727438365e-02,-8.264462808551328518e-03
5.469462169553326869e-02,-8.264462808551328518e-03
5.560619872379216067e-02,8.264462808551328518e-03
5.651777575205104570e-02,1.239669421282699191e-01
5.742935278030993768e-02,1.239669421282699191e-01
5.834092980856882271e-02,1.239669421282699191e-01
5.925250683682770775e-02,1.239669421282699191e-01
6.016408386508659972e-02,2.396694214479885288e-01
6.107566089334548476e-02,2.727272726821938220e-01
6.198723792160437673e-02,2.892561982992964964e-01
6.289881494986326871e-02,2.892561982992964964e-01
6.381039197812214681e-02,3.057851239163991708e-01
6.472196900638103878e-02,3.057851239163991708e-01
6.563354603463993076e-02,3.223140495335017897e-01
6.654512306289880885e-02,3.223140495335017897e-01
6.745670009115770083e-02,3.223140495335017897e-01
6.836827711941659280e-02,3.223140495335017897e-01
6.927985414767547090e-02,3.223140495335017897e-01
7.019143117593436287e-02,3.223140495335017897e-01
7.110300820419325485e-02,3.057851239163991708e-01
7.201458523245214682e-02,2.479338842565398382e-02
7.292616226071102492e-02,2.479338842565398382e-02
7.383773928896991690e-02,2.479338842565398382e-02
7.474931631722880887e-02,8.264462808551328518e-03
7.566089334548768697e-02,-5.371900825558363346e-01
7.657247037374657894e-02,-8.677685948978894892e-01
7.748404740200547092e-02,-9.173553717491974568e-01
7.839562443026434901e-02,-9.504132229834028056e-01
7.930720145852324099e-02,-9.669421486005054245e-01
8.021877848678213296e-02,-9.999999998347107732e-01
8.113035551504102494e-02,-9.999999998347107732e-01
8.204193254329990304e-02,-9.999999998347107732e-01
8.295350957155879501e-02,-9.999999998347107732e-01
8.386508659981768699e-02,-9.834710742176080434e-01
8.477666362807656508e-02,-9.669421486005054245e-01
8.568824065633545706e-02,-8.677685948978894892e-01
8.659981768459434903e-02,-8.512396692807868703e-01
8.751139471285324101e-02,2.066115702137832078e-01
8.842297174111211910e-02,1.900826445966805611e-01
8.933454876937101108e-02,1.735537189795778867e-01
9.024612579762990305e-02,9.090909089406461197e-02
9.115770282588878115e-02,1.074380165111672725e-01
9.206927985414767313e-02,1.074380165111672725e-01
9.298085688240656510e-02,1.074380165111672725e-01
9.389243391066544320e-02,1.074380165111672725e-01
9.480401093892433517e-02,1.074380165111672725e-01
9.571558796718322715e-02,1.074380165111672725e-01
9.662716499544211912e-02,1.074380165111672725e-01
9.753874202370099722e-02,1.239669421282699191e-01
9.845031905195988919e-02,1.239669421282699191e-01
9.936189608021878117e-02,1.239669421282699191e-01
1.002734731084776593e-01,1.239669421282699191e-01
1.011850501367365512e-01,1.239669421282699191e-01
1.020966271649954432e-01,1.239669421282699191e-01
1.030082041932543213e-01,1.239669421282699191e-01
1.039197812215132133e-01,1.239669421282699191e-01
1.048313582497721053e-01,1.239669421282699191e-01
1.057429352780309972e-01,1.239669421282699191e-01
1.066545123062898753e-01,1.239669421282699191e-01
1.075660893345487673e-01,1.239669421282699191e-01
1.084776663628076593e-01,1.239669421282699191e-01
1.093892433910665374e-01,1.239669421282699191e-01
1.103008204193254294e-01,1.239669421282699191e-01
1.112123974475843213e-01,1.239669421282699191e-01
1.121239744758431994e-01,1.239669421282699191e-01
1.130355515041020914e-01,1.074380165111672725e-01
1.139471285323609834e-01,1.074380165111672725e-01
