time,value
0.000000000000000000e+00,-5.393103448127086752e-01
2.862049227246708403e-04,-5.393103448127086752e-01
5.724098454493416806e-04,-5.393103448127086752e-01
8.586147681740125210e-04,-5.393103448127086752e-01
1.144819690898683361e-03,-5.393103448127086752e-01
1.431024613623354310e-03,-5.393103448127086752e-01
1.717229536348025042e-03,-5.393103448127086752e-01
2.003434459072695774e-03,-5.393103448127086752e-01
2.289639381797366723e-03,-5.393103448127086752e-01
2.575844304522037671e-03,-5.393103448127086752e-01
2.862049227246708620e-03,-5.393103448127086752e-01
3.148254149971379135e-03,-5.393103448127086752e-01
3.434459072696050084e-03,-5.393103448127086752e-01
3.720663995420721033e-03,-5.393103448127086752e-01
4.006868918145391548e-03,-5.393103448127086752e-01
4.293073840870062496e-03,-5.393103448127086752e-01
4.579278763594733445e-03,-5.393103448127086752e-01
4.865483686319404394e-03,-5.393103448127086752e-01
5.151688609044075343e-03,-5.393103448127086752e-01
5.437893531768746291e-03,-5.393103448127086752e-01
5.724098454493417240e-03,-5.393103448127086752e-01
6.010303377218087321e-03,-5.393103448127086752e-01
6.296508299942758270e-03,-5.365517241231295698e-01
6.582713222667429219e-03,-5.365517241231295698e-01
6.868918145392100168e-03,-5.393103448127086752e-01
7.155123068116771116e-03,-5.393103448127086752e-01
7.441327990841442065e-03,-5.393103448127086752e-01
7.727532913566113014e-03,-5.393103448127086752e-01
8.013737836290783095e-03,-5.393103448127086752e-01
8.299942759015454044e-03,-5.393103448127086752e-01
8.586147681740124993e-03,-5.393103448127086752e-01
8.872352604464795942e-03,-5.393103448127086752e-01
9.158557527189466890e-03,-5.393103448127086752e-01
9.444762449914137839e-03,-5.393103448127086752e-01
9.730967372638808788e-03,-5.393103448127086752e-01
1.001717229536347974e-02,-5.393103448127086752e-01
1.030337721808815069e-02,-5.393103448127086752e-01
1.058958214081282163e-02,-5.393103448127086752e-01
1.087578706353749258e-02,-5.393103448127086752e-01
1.116199198626216353e-02,-5.393103448127086752e-01
1.144819690898683448e-02,-5.393103448127086752e-01
1.173440183171150369e-02,-5.393103448127086752e-01
1.202060675443617464e-02,-5.393103448127086752e-01
1.230681167716084559e-02,-5.393103448127086752e-01
1.259301659988551654e-02,-5.393103448127086752e-01
1.287922152261018749e-02,-5.393103448127086752e-01
1.316542644533485844e-02,-5.393103448127086752e-01
1.345163136805952939e-02,-5.393103448127086752e-01
1.373783629078420034e-02,-5.393103448127086752e-01
1.402404121350887128e-02,-5.393103448127086752e-01
1.431024613623354223e-02,-5.393103448127086752e-01
1.459645105895821318e-02,-5.393103448127086752e-01
1.488265598168288413e-02,-5.393103448127086752e-01
1.516886090440755508e-02,-5.393103448127086752e-01
1.545506582713222603e-02,-5.393103448127086752e-01
1.574127074985689698e-02,-5.393103448127086752e-01
1.602747567258156619e-02,-5.393103448127086752e-01
1.631368059530623887e-02,-5.393103448127086752e-01
1.659988551803090809e-02,-5.393103448127086752e-01
1.688609044075558077e-02,-5.393103448127086752e-01
1.717229536348024999e-02,-5.393103448127086752e-01
1.745850028620492267e-02,-5.365517241231295698e-01
1.774470520892959188e-02,-5.365517241231295698e-01
1.803091013165426457e-02,-5.365517241231295698e-01
1.831711505437893378e-02,-5.365517241231295698e-01
1.860331997710360299e-02,-5.365517241231295698e-01
1.888952489982827568e-02,-5.337931034335505753e-01
1.917572982255294489e-02,-5.282758620543923644e-01
1.946193474527761758e-02,-5.255172413648132590e-01
1.974813966800228679e-02,-5.199999999856551591e-01
2.003434459072695947e-02,-5.172413792960760537e-01
2.032054951345162869e-02,-5.117241379169179538e-01
2.060675443617630137e-02,-5.062068965377598539e-01
2.089295935890097058e-02,-5.034482758481807485e-01
2.117916428162564327e-02,-4.979310344690225931e-01
2.146536920435031248e-02,-4.951724137794434877e-01
2.175157412707498517e-02,-4.896551724002853878e-01
2.203777904979965438e-02,-4.868965517107062824e-01
2.232398397252432706e-02,-4.813793103315481270e-01
2.261018889524899628e-02,-4.786206896419690771e-01
2.289639381797366896e-02,-4.758620689523900271e-01
2.318259874069833817e-02,-4.703448275732318717e-01
2.346880366342300739e-02,-4.648275861940737164e-01
2.375500858614768007e-02,-4.620689655044946664e-01
2.404121350887234929e-02,-4.565517241253365111e-01
2.432741843159702197e-02,-4.537931034357574056e-01
2.461362335432169118e-02,-4.482758620565992502e-01
2.489982827704636387e-02,-4.455172413670202003e-01
2.518603319977103308e-02,-4.399999999878620449e-01
2.547223812249570576e-02,-4.372413792982829950e-01
2.575844304522037498e-02,-4.317241379191248396e-01
2.604464796794504766e-02,-4.289655172295457897e-01
2.633085289066971688e-02,-4.234482758503876343e-01
2.661705781339438956e-02,-4.179310344712294789e-01
2.690326273611905877e-02,-4.151724137816504290e-01
2.718946765884373146e-02,-4.096551724024922736e-01
2.747567258156840067e-02,-4.068965517129131682e-01
2.776187750429306988e-02,-4.013793103337550683e-01
2.804808242701774257e-02,-3.986206896441759628e-01
2.833428734974241178e-02,-3.958620689545969129e-01
2.862049227246708447e-02,-3.931034482650178075e-01
2.890669719519175368e-02,-3.903448275754387575e-01
2.919290211791642636e-02,-3.875862068858597076e-01
2.947910704064109558e-02,-3.875862068858597076e-01
2.976531196336576826e-02,-3.848275861962806021e-01
3.005151688609043747e-02,-3.848275861962806021e-01
3.033772180881511016e-02,-3.820689655067015522e-01
3.062392673153977937e-02,-3.820689655067015522e-01
3.091013165426445206e-02,-3.793103448171224468e-01
3.119633657698912127e-02,-3.793103448171224468e-01
3.148254149971379395e-02,-3.793103448171224468e-01
3.176874642243846664e-02,-3.793103448171224468e-01
3.205495134516313238e-02,-3.793103448171224468e-01
3.234115626788780506e-02,-3.765517241275433968e-01
3.262736119061247775e-02,-3.765517241275433968e-01
3.291356611333714349e-02,-3.765517241275433968e-01
3.319977103606181618e-02,-3.765517241275433968e-01
3.348597595878648886e-02,-3.765517241275433968e-01
3.377218088151116154e-02,-3.765517241275433968e-01
3.405838580423582729e-02,-3.765517241275433968e-01
3.434459072696049997e-02,-3.765517241275433968e-01
3.463079564968517265e-02,-3.765517241275433968e-01
3.491700057240984534e-02,-3.793103448171224468e-01
3.520320549513451108e-02,-3.793103448171224468e-01
3.548941041785918377e-02,-3.793103448171224468e-01
3.577561534058385645e-02,-3.793103448171224468e-01
3.606182026330852913e-02,-3.793103448171224468e-01
3.634802518603319488e-02,-3.820689655067015522e-01
3.663423010875786756e-02,-3.848275861962806021e-01
3.692043503148254024e-02,-3.848275861962806021e-01
3.720663995420720599e-02,-3.875862068858597076e-01
3.749284487693187867e-02,-3.875862068858597076e-01
3.777904979965655136e-02,-3.903448275754387575e-01
3.806525472238122404e-02,-3.931034482650178075e-01
3.835145964510588978e-02,-3.958620689545969129e-01
3.863766456783056247e-02,-3.986206896441759628e-01
3.892386949055523515e-02,-4.013793103337550683e-01
3.921007441327990783e-02,-4.041379310233341182e-01
3.949627933600457358e-02,-4.096551724024922736e-01
3.978248425872924626e-02,-4.151724137816504290e-01
4.006868918145391895e-02,-4.206896551608085288e-01
4.035489410417859163e-02,-4.262068965399666842e-01
4.064109902690325737e-02,-4.289655172295457897e-01
4.092730394962793006e-02,-4.344827586087038895e-01
4.121350887235260274e-02,-4.399999999878620449e-01
4.149971379507726849e-02,-4.455172413670202003e-01
4.178591871780194117e-02,-4.510344827461783557e-01
4.207212364052661385e-02,-4.565517241253365111e-01
4.235832856325128654e-02,-4.593103448149155610e-01
4.264453348597595228e-02,-4.648275861940737164e-01
4.293073840870062496e-02,-4.675862068836527663e-01
4.321694333142529765e-02,-4.758620689523900271e-01
4.350314825414997033e-02,-4.786206896419690771e-01
4.378935317687463608e-02,-4.841379310211272324e-01
4.407555809959930876e-02,-4.896551724002853878e-01
4.436176302232398144e-02,-4.951724137794434877e-01
4.464796794504865413e-02,-5.006896551586016431e-01
4.493417286777331987e-02,-5.034482758481807485e-01
4.522037779049799255e-02,-5.089655172273388484e-01
4.550658271322266524e-02,-5.117241379169179538e-01
4.579278763594733792e-02,-5.172413792960760537e-01
4.607899255867200367e-02,-5.199999999856551591e-01
4.636519748139667635e-02,-5.255172413648132590e-01
4.665140240412134903e-02,-5.282758620543923644e-01
4.693760732684601478e-02,-5.310344827439714699e-01
4.722381224957068746e-02,-5.337931034335505753e-01
4.751001717229536014e-02,-5.365517241231295698e-01
4.779622209502003283e-02,-5.365517241231295698e-01
4.808242701774469857e-02,-5.365517241231295698e-01
4.836863194046937126e-02,-5.365517241231295698e-01
4.865483686319404394e-02,-5.365517241231295698e-01
4.894104178591871662e-02,-5.393103448127086752e-01
4.922724670864338237e-02,-5.393103448127086752e-01
4.951345163136805505e-02,-5.393103448127086752e-01
4.979965655409272773e-02,-5.365517241231295698e-01
5.008586147681740042e-02,-5.365517241231295698e-01
5.037206639954206616e-02,-5.365517241231295698e-01
5.065827132226673885e-02,-5.365517241231295698e-01
5.094447624499141153e-02,-5.365517241231295698e-01
5.123068116771607727e-02,-5.365517241231295698e-01
5.151688609044074996e-02,-5.365517241231295698e-01
5.180309101316542264e-02,-5.365517241231295698e-01
5.208929593589009532e-02,-5.365517241231295698e-01
