time,value
0.000000000000000000e+00,-9.999999998039215132e-01
9.099181073703367000e-04,2.352941176009227253e-01
1.819836214740673400e-03,2.352941176009227253e-01
2.729754322111010208e-03,2.745098038677431518e-01
3.639672429481346800e-03,2.941176470011533928e-01
4.549590536851683825e-03,3.333333332679738747e-01
5.459508644222020417e-03,3.333333332679738747e-01
6.369426751592357008e-03,3.333333332679738747e-01
7.279344858962693600e-03,3.333333332679738747e-01
8.189262966333030191e-03,3.333333332679738747e-01
9.099181073703367650e-03,-1.960784313341022711e-02
1.000909918107370337e-02,-1.960784313341022711e-02
1.091901728844404083e-02,-1.960784313341022711e-02
1.182893539581437656e-02,-1.960784313341022711e-02
1.273885350318471402e-02,-1.960784313341022711e-02
1.364877161055504974e-02,1.960784313341022711e-02
1.455868971792538720e-02,-0.000000000000000000e+00
1.546860782529572466e-02,-0.000000000000000000e+00
1.637852593266606038e-02,-0.000000000000000000e+00
1.728844404003639784e-02,-0.000000000000000000e+00
1.819836214740673530e-02,-0.000000000000000000e+00
1.910828025477706929e-02,-0.000000000000000000e+00
2.001819836214740675e-02,-0.000000000000000000e+00
2.092811646951774421e-02,9.803921566705113555e-02
2.183803457688808167e-02,3.921568626682045422e-02
2.274795268425841913e-02,5.882352940023068133e-02
2.365787079162875312e-02,5.882352940023068133e-02
2.456778889899909057e-02,9.803921566705113555e-02
2.547770700636942803e-02,7.843137253364090844e-02
2.638762511373976549e-02,7.843137253364090844e-02
2.729754322111009948e-02,9.803921566705113555e-02
2.820746132848043694e-02,1.176470588004613627e-01
2.911737943585077440e-02,1.176470588004613627e-01
3.002729754322111186e-02,1.176470588004613627e-01
3.093721565059144932e-02,1.176470588004613627e-01
3.184713375796178331e-02,1.176470588004613627e-01
3.275705186533212077e-02,1.176470588004613627e-01
3.366696997270245822e-02,1.176470588004613627e-01
3.457688808007279568e-02,1.176470588004613627e-01
3.548680618744313314e-02,1.176470588004613627e-01
3.639672429481347060e-02,1.372549019338715759e-01
3.730664240218380806e-02,9.803921566705113555e-02
3.821656050955413858e-02,9.803921566705113555e-02
