time,value
0.000000000000000000e+00,-4.703196346888791624e-01
2.805049088359046422e-04,-4.703196346888791624e-01
5.610098176718092845e-04,-4.703196346888791624e-01
8.415147265077139267e-04,-4.703196346888791624e-01
1.122019635343618569e-03,-4.703196346888791624e-01
1.402524544179523103e-03,-4.703196346888791624e-01
1.683029453015427853e-03,-4.703196346888791624e-01
1.963534361851332604e-03,-4.703196346888791624e-01
2.244039270687237138e-03,-4.703196346888791624e-01
2.524544179523141672e-03,-4.703196346888791624e-01
2.805049088359046205e-03,-4.703196346888791624e-01
3.085553997194951173e-03,-4.703196346888791624e-01
3.366058906030855707e-03,-4.703196346888791624e-01
3.646563814866760241e-03,-4.703196346888791624e-01
3.927068723702665208e-03,-4.703196346888791624e-01
4.207573632538569308e-03,-4.703196346888791624e-01
4.488078541374474276e-03,-4.703196346888791624e-01
4.768583450210379243e-03,-4.703196346888791624e-01
5.049088359046283343e-03,-4.703196346888791624e-01
5.329593267882188311e-03,-4.703196346888791624e-01
5.610098176718092411e-03,-4.703196346888791624e-01
5.890603085553997378e-03,-4.703196346888791624e-01
6.171107994389902346e-03,-4.703196346888791624e-01
6.451612903225806446e-03,-4.703196346888791624e-01
6.732117812061711414e-03,-4.672754946585304103e-01
7.012622720897616381e-03,-4.642313546281816583e-01
7.293127629733520481e-03,-4.611872145978329618e-01
7.573632538569425449e-03,-4.611872145978329618e-01
7.854137447405330416e-03,-4.611872145978329618e-01
8.134642356241235384e-03,-4.611872145978329618e-01
8.415147265077138616e-03,-4.611872145978329618e-01
8.695652173913043584e-03,-4.611872145978329618e-01
8.976157082748948551e-03,-4.611872145978329618e-01
9.256661991584853519e-03,-4.611872145978329618e-01
9.537166900420758486e-03,-4.611872145978329618e-01
9.817671809256661719e-03,-4.611872145978329618e-01
1.009817671809256669e-02,-4.611872145978329618e-01
1.037868162692847165e-02,-4.611872145978329618e-01
1.065918653576437662e-02,-4.611872145978329618e-01
1.093969144460028159e-02,-4.611872145978329618e-01
1.122019635343618482e-02,-4.611872145978329618e-01
1.150070126227208979e-02,-4.611872145978329618e-01
1.178120617110799476e-02,-4.611872145978329618e-01
1.206171107994389972e-02,-4.611872145978329618e-01
1.234221598877980469e-02,-4.611872145978329618e-01
1.262272089761570966e-02,-4.611872145978329618e-01
1.290322580645161289e-02,-4.611872145978329618e-01
1.318373071528751786e-02,-4.611872145978329618e-01
1.346423562412342283e-02,-4.611872145978329618e-01
1.374474053295932779e-02,-4.611872145978329618e-01
1.402524544179523276e-02,-4.611872145978329618e-01
1.430575035063113599e-02,-4.611872145978329618e-01
1.458625525946704096e-02,-4.611872145978329618e-01
1.486676016830294593e-02,-4.611872145978329618e-01
1.514726507713885090e-02,-4.611872145978329618e-01
1.542776998597475586e-02,-4.611872145978329618e-01
1.570827489481066083e-02,-4.611872145978329618e-01
1.598877980364656406e-02,-4.611872145978329618e-01
1.626928471248247077e-02,-4.611872145978329618e-01
1.654978962131837400e-02,-4.611872145978329618e-01
1.683029453015427723e-02,-4.611872145978329618e-01
1.711079943899018393e-02,-4.611872145978329618e-01
1.739130434782608717e-02,-4.611872145978329618e-01
1.767180925666199387e-02,-4.611872145978329618e-01
1.795231416549789710e-02,-4.611872145978329618e-01
1.823281907433380034e-02,-4.611872145978329618e-01
1.851332398316970704e-02,-4.611872145978329618e-01
1.879382889200561027e-02,-4.611872145978329618e-01
1.907433380084151697e-02,-4.611872145978329618e-01
1.935483870967742021e-02,-4.611872145978329618e-01
1.963534361851332344e-02,-4.611872145978329618e-01
1.991584852734923014e-02,-4.611872145978329618e-01
2.019635343618513337e-02,-4.611872145978329618e-01
2.047685834502104008e-02,-4.611872145978329618e-01
2.075736325385694331e-02,-4.611872145978329618e-01
2.103786816269284654e-02,-4.611872145978329618e-01
2.131837307152875324e-02,-4.611872145978329618e-01
2.159887798036465648e-02,-4.611872145978329618e-01
2.187938288920056318e-02,-4.611872145978329618e-01
2.215988779803646641e-02,-4.611872145978329618e-01
2.244039270687236964e-02,-4.611872145978329618e-01
2.272089761570827635e-02,-4.611872145978329618e-01
2.300140252454417958e-02,-4.611872145978329618e-01
2.328190743338008628e-02,-4.611872145978329618e-01
2.356241234221598951e-02,-4.611872145978329618e-01
2.384291725105189622e-02,-4.611872145978329618e-01
2.412342215988779945e-02,-4.611872145978329618e-01
2.440392706872370268e-02,-4.611872145978329618e-01
2.468443197755960938e-02,-4.611872145978329618e-01
2.496493688639551262e-02,-4.611872145978329618e-01
2.524544179523141932e-02,-4.611872145978329618e-01
2.552594670406732255e-02,-4.611872145978329618e-01
2.580645161290322578e-02,-4.611872145978329618e-01
2.608695652173913249e-02,-4.611872145978329618e-01
2.636746143057503572e-02,-4.611872145978329618e-01
2.664796633941094242e-02,-4.611872145978329618e-01
2.692847124824684565e-02,-4.611872145978329618e-01
2.720897615708274889e-02,-4.611872145978329618e-01
2.748948106591865559e-02,-4.611872145978329618e-01
2.776998597475455882e-02,-4.611872145978329618e-01
2.805049088359046552e-02,-4.611872145978329618e-01
2.833099579242636876e-02,-4.581430745674842098e-01
2.861150070126227199e-02,-4.550989345371355133e-01
2.889200561009817869e-02,-4.520547945067867612e-01
2.917251051893408192e-02,-4.459665144460893127e-01
2.945301542776998863e-02,-4.429223744157405607e-01
2.973352033660589186e-02,-4.368340943550431121e-01
3.001402524544179509e-02,-4.307458142943456081e-01
3.029453015427770179e-02,-4.246575342336481595e-01
3.057503506311360503e-02,-4.216133942032994075e-01
3.085553997194951173e-02,-4.155251141426019590e-01
3.113604488078541496e-02,-4.094368340819045105e-01
3.141654978962132166e-02,-4.063926940515557584e-01
3.169705469845722490e-02,-4.033485540212070619e-01
3.197755960729312813e-02,-3.972602739605095579e-01
3.225806451612903136e-02,-3.911719938998121093e-01
3.253856942496494153e-02,-3.881278538694633573e-01
3.281907433380084477e-02,-3.820395738087659088e-01
3.309957924263674800e-02,-3.759512937480684602e-01
3.338008415147265123e-02,-3.729071537177197082e-01
3.366058906030855447e-02,-3.668188736570222597e-01
3.394109396914446464e-02,-3.637747336266735076e-01
3.422159887798036787e-02,-3.576864535659760591e-01
3.450210378681627110e-02,-3.515981735052786106e-01
3.478260869565217434e-02,-3.455098934445811065e-01
3.506311360448807757e-02,-3.424657534142324100e-01
3.534361851332398774e-02,-3.363774733535349060e-01
3.562412342215989097e-02,-3.333333333231862095e-01
3.590462833099579421e-02,-3.302891932928374574e-01
3.618513323983169744e-02,-3.272450532624887054e-01
3.646563814866760067e-02,-3.242009132321400089e-01
3.674614305750351084e-02,-3.211567732017912569e-01
3.702664796633941408e-02,-3.181126331714425048e-01
3.730715287517531731e-02,-3.181126331714425048e-01
3.758765778401122054e-02,-3.150684931410938083e-01
3.786816269284712377e-02,-3.150684931410938083e-01
3.814866760168303395e-02,-3.120243531107450563e-01
3.842917251051893718e-02,-3.120243531107450563e-01
3.870967741935484041e-02,-3.120243531107450563e-01
3.899018232819074364e-02,-3.120243531107450563e-01
3.927068723702664688e-02,-3.120243531107450563e-01
3.955119214586255705e-02,-3.120243531107450563e-01
3.983169705469846028e-02,-3.089802130803963598e-01
4.011220196353436351e-02,-3.120243531107450563e-01
4.039270687237026675e-02,-3.120243531107450563e-01
4.067321178120616998e-02,-3.120243531107450563e-01
4.095371669004208015e-02,-3.120243531107450563e-01
4.123422159887798338e-02,-3.120243531107450563e-01
4.151472650771388662e-02,-3.120243531107450563e-01
4.179523141654978985e-02,-3.120243531107450563e-01
4.207573632538569308e-02,-3.120243531107450563e-01
4.235624123422160325e-02,-3.120243531107450563e-01
4.263674614305750649e-02,-3.150684931410938083e-01
4.291725105189340972e-02,-3.150684931410938083e-01
4.319775596072931295e-02,-3.181126331714425048e-01
4.347826086956521618e-02,-3.211567732017912569e-01
4.375876577840112636e-02,-3.211567732017912569e-01
4.403927068723702959e-02,-3.242009132321400089e-01
4.431977559607293282e-02,-3.272450532624887054e-01
4.460028050490883605e-02,-3.302891932928374574e-01
4.488078541374473929e-02,-3.333333333231862095e-01
4.516129032258064946e-02,-3.363774733535349060e-01
4.544179523141655269e-02,-3.424657534142324100e-01
4.572230014025245592e-02,-3.485540334749298585e-01
4.600280504908835916e-02,-3.546423135356273071e-01
4.628330995792426933e-02,-3.576864535659760591e-01
4.656381486676017256e-02,-3.637747336266735076e-01
4.684431977559607579e-02,-3.698630136873709562e-01
4.712482468443197903e-02,-3.729071537177197082e-01
4.740532959326788226e-02,-3.789954337784171567e-01
